Zeitpunkt;Skalierter Netzlast [MWh]
2035-07-04 23:22:30;19426.035929249225
2035-07-04 23:37:30;19069.564480882513
2035-07-04 23:52:30;18784.387322189144
2035-07-05 00:07:30;18449.469961398096
2035-07-05 00:22:30;18182.11637512306
2035-07-05 00:37:30;17955.383953894467
2035-07-05 00:52:30;17562.436357322786
2035-07-05 01:07:30;17353.113006828382
2035-07-05 01:22:30;17410.314239240714
2035-07-05 01:37:30;17099.02347444606
2035-07-05 01:52:30;16857.78349427231
2035-07-05 02:07:30;17002.859083723877
2035-07-05 02:22:30;16870.633046480878
2035-07-05 02:37:30;16799.338756807534
2035-07-05 02:52:30;16954.36238667864
2035-07-05 03:07:30;17251.97459589643
2035-07-05 03:22:30;17190.628346642625
2035-07-05 03:37:30;17256.119612737904
2035-07-05 03:52:30;17205.13590558778
2035-07-05 04:07:30;17482.852033966497
2035-07-05 04:22:30;17545.856289956893
2035-07-05 04:37:30;17729.480536034163
2035-07-05 04:52:30;17865.437088434493
2035-07-05 05:07:30;18289.057809633072
2035-07-05 05:22:30;18498.795661811626
2035-07-05 05:37:30;18808.842921553838
2035-07-05 05:52:30;19477.434138083496
2035-07-05 06:07:30;20884.667355763715
2035-07-05 06:22:30;21764.654431208517
2035-07-05 06:37:30;22269.931984184124
2035-07-05 06:52:30;22695.210712119297
2035-07-05 07:07:30;23227.43087456448
2035-07-05 07:22:30;23607.114417243443
2035-07-05 07:37:30;23966.07287571504
2035-07-05 07:52:30;24429.900260275914
2035-07-05 08:07:30;24650.00065455815
2035-07-05 08:22:30;24847.303456212285
2035-07-05 08:37:30;25080.25340270309
2035-07-05 08:52:30;25344.70547718909
2035-07-05 09:07:30;25214.551948366825
2035-07-05 09:22:30;25338.90245361103
2035-07-05 09:37:30;25506.7756356907
2035-07-05 09:52:30;25597.551504518968
2035-07-05 10:07:30;25707.394450818014
2035-07-05 10:22:30;25820.967912274384
2035-07-05 10:37:30;26092.88101707504
2035-07-05 10:52:30;26103.24355917872
2035-07-05 11:07:30;26281.479283362078
2035-07-05 11:22:30;26464.689027755205
2035-07-05 11:37:30;26451.010472178343
2035-07-05 11:52:30;26348.628556193948
2035-07-05 12:07:30;25861.589077320823
2035-07-05 12:22:30;25763.352178177905
2035-07-05 12:37:30;25640.65967967029
2035-07-05 12:52:30;25509.262645795585
2035-07-05 13:07:30;25474.03000264306
2035-07-05 13:22:30;25152.376695744726
2035-07-05 13:37:30;24923.986267779543
2035-07-05 13:52:30;24769.377139592583
